iter	Passed	Remaining
0	126	126311
1	129	64393
2	130	43478
3	132	33021
4	135	27025
5	137	22751
6	139	19756
7	141	17488
8	142	15665
9	143	14215
10	144	13017
11	145	12017
12	147	11164
13	148	10472
14	150	9852
15	151	9294
16	152	8803
17	153	8351
18	153	7947
19	154	7582
20	155	7253
21	156	6955
22	157	6682
23	158	6434
24	158	6199
25	159	5983
26	160	5783
27	161	5596
28	162	5430
29	163	5275
30	163	5125
31	164	4988
32	165	4854
33	166	4730
34	167	4610
35	168	4501
36	168	4394
37	169	4293
38	170	4198
39	171	4106
40	171	4019
41	172	3937
42	173	3857
43	174	3782
44	174	3712
45	175	3644
46	176	3588
47	177	3525
48	178	3472
49	179	3415
50	180	3359
51	181	3304
52	182	3252
53	182	3201
54	183	3154
55	184	3108
56	185	3062
57	185	3018
58	186	2975
59	187	2934
60	188	2894
61	188	2855
62	189	2818
63	191	2794
64	192	2762
65	193	2733
66	194	2701
67	194	2671
68	195	2642
69	196	2614
70	197	2587
71	198	2561
72	199	2534
73	200	2509
74	201	2485
75	202	2461
76	203	2438
77	204	2414
78	205	2397
79	207	2386
80	208	2367
81	209	2348
82	210	2325
83	212	2314
84	213	2295
85	214	2276
86	215	2257
87	216	2240
88	217	2223
89	218	2206
90	219	2189
91	220	2175
92	222	2166
93	223	2150
94	223	2133
95	225	2119
96	226	2105
97	227	2091
98	228	2076
99	229	2061
100	229	2047
101	231	2034
102	232	2021
103	233	2007
104	233	1994
105	235	1987
106	237	1979
107	238	1966
108	238	1953
109	240	1942
110	241	1931
111	242	1920
112	243	1907
113	244	1896
114	244	1885
115	245	1873
116	246	1861
117	247	1849
118	248	1839
119	249	1828
120	250	1821
121	251	1812
122	252	1801
123	254	1794
124	255	1786
125	256	1776
126	257	1766
127	257	1757
128	261	1763
129	262	1754
130	263	1745
131	264	1737
132	265	1733
133	266	1724
134	268	1717
135	269	1709
136	270	1701
137	271	1693
138	271	1684
139	272	1676
140	273	1668
141	274	1658
142	275	1651
143	276	1643
144	277	1635
145	278	1628
146	279	1621
147	280	1617
148	282	1611
149	283	1604
150	284	1597
151	285	1590
152	286	1583
153	287	1576
154	288	1570
155	288	1563
156	289	1556
157	290	1550
158	291	1543
159	292	1537
160	293	1529
161	294	1523
162	296	1520
163	297	1516
164	298	1511
165	300	1510
166	301	1504
167	302	1498
168	303	1492
169	304	1486
170	305	1481
171	306	1475
172	307	1469
173	308	1464
174	309	1459
175	311	1458
176	312	1453
177	313	1447
178	314	1442
179	315	1437
180	316	1432
181	317	1427
182	318	1421
183	319	1416
184	320	1410
185	321	1405
186	322	1400
187	323	1395
188	324	1390
189	326	1389
190	327	1385
191	328	1381
192	329	1377
193	330	1372
194	331	1367
195	332	1362
196	333	1358
197	334	1353
198	335	1348
199	336	1344
200	337	1339
201	338	1335
202	338	1330
203	340	1328
204	341	1324
205	342	1320
206	343	1315
207	344	1311
208	345	1307
209	346	1302
210	346	1297
211	347	1292
212	348	1287
213	349	1282
214	349	1277
215	350	1272
216	351	1267
217	351	1262
218	352	1257
219	353	1253
220	354	1250
221	355	1246
222	356	1242
223	357	1237
224	358	1233
225	358	1228
226	359	1224
227	360	1220
228	361	1215
229	361	1211
230	362	1207
231	363	1202
232	364	1198
233	364	1194
234	365	1190
235	366	1185
236	367	1181
237	367	1177
238	368	1173
239	370	1173
240	371	1170
241	372	1166
242	373	1163
243	374	1160
244	375	1157
245	376	1154
246	377	1151
247	378	1148
248	379	1144
249	380	1141
250	381	1138
251	382	1134
252	383	1132
253	384	1129
254	385	1127
255	386	1123
256	390	1129
257	391	1126
258	392	1122
259	393	1118
